tick_idx,climate_pass_stage,climate_pass_path,climate_pass_status
684,pass_a,data_core,done
685,pass_b,data_core,done
686,ocean_water,native_chunk,running
687,ocean_water,native_chunk,running
688,ocean_water,native_chunk,done
689,ocean_land,native_chunk,running
690,ocean_land,native_chunk,running
691,ocean_land,native_chunk,done
692,wind_air,gdext,done
693,wind_surface,gdext,done
694,transp,gdext,done
695,pass_a,data_core,done
696,pass_b,data_core,done
697,ocean_water,native_chunk,running
698,ocean_water,native_chunk,running
699,ocean_water,native_chunk,done
700,ocean_land,native_chunk,running
701,ocean_land,native_chunk,running
702,ocean_land,native_chunk,done
703,wind_air,gdext,done
704,wind_surface,gdext,done
705,transp,gdext,done
706,pass_a,data_core,done
707,pass_b,data_core,done
708,ocean_water,native_chunk,running
709,ocean_water,native_chunk,running
710,ocean_water,native_chunk,done
711,ocean_land,native_chunk,running
712,ocean_land,native_chunk,running
713,ocean_land,native_chunk,done
714,wind_air,gdext,done
715,wind_surface,gdext,done
716,transp,gdext,done
717,pass_a,data_core,done
718,pass_b,data_core,done
719,ocean_water,native_chunk,running
720,ocean_water,native_chunk,running
721,ocean_water,native_chunk,done
722,ocean_land,native_chunk,running
723,ocean_land,native_chunk,running
724,ocean_land,native_chunk,done
725,wind_air,gdext,done
726,wind_surface,gdext,done
727,transp,gdext,done
728,pass_a,data_core,done
729,pass_b,data_core,done
730,ocean_water,native_chunk,running
731,ocean_water,native_chunk,running
732,ocean_water,native_chunk,done
733,ocean_land,native_chunk,running
734,ocean_land,native_chunk,running
735,ocean_land,native_chunk,done
736,wind_air,gdext,done
737,wind_surface,gdext,done
738,transp,gdext,done
739,pass_a,data_core,done
740,pass_b,data_core,done
741,ocean_water,native_chunk,running
742,ocean_water,native_chunk,running
743,ocean_water,native_chunk,done
744,ocean_land,native_chunk,running
745,ocean_land,native_chunk,running
746,ocean_land,native_chunk,done
747,wind_air,gdext,done
748,wind_surface,gdext,done
749,transp,gdext,done
750,pass_a,data_core,done
751,pass_b,data_core,done
752,ocean_water,native_chunk,running
753,ocean_water,native_chunk,running
754,ocean_water,native_chunk,done
755,ocean_land,native_chunk,running
756,ocean_land,native_chunk,running
757,ocean_land,native_chunk,done
