=== cell 100 lat=0.025641 (samples=116) ===
tick,temp,t30,t365,seas_off,sea_ice,baseline,baseline_year
3281,0.688898,0.811634,0.842502,-0.083954,0,0.81177,0.885289
3283,0.688898,0.811634,0.842502,-0.083954,0,0.81177,0.885289
3285,0.688898,0.811634,0.842502,-0.083954,0,0.81177,0.885289
3287,0.894814,0.814407,0.842645,0.083044,0,0.81177,0.885289
3289,0.894814,0.814407,0.842645,0.083044,0,0.81177,0.885289
3291,0.875777,0.814407,0.842645,0.083044,0,0.81177,0.885289
3293,0.875777,0.814407,0.842645,0.083044,0,0.81177,0.885289
3295,0.875777,0.814407,0.842645,0.083044,0,0.81177,0.885289
3297,0.894814,0.817087,0.842788,0.083044,0,0.81177,0.885289
3299,0.875777,0.817087,0.842788,0.083044,0,0.81177,0.885289
3301,0.875777,0.817087,0.842788,0.083044,0,0.81177,0.885289
3303,0.875777,0.817087,0.842788,0.083044,0,0.81177,0.885289
3305,0.871647,0.818906,0.842867,0.059876,0,0.81177,0.885289
3307,0.871647,0.818906,0.842867,0.059876,0,0.81177,0.885289
3309,0.837958,0.818906,0.842867,0.059876,0,0.81177,0.885289
3311,0.837958,0.818906,0.842867,0.059876,0,0.81177,0.885289
3313,0.837958,0.818906,0.842867,0.059876,0,0.81177,0.885289
3315,0.678382,0.814222,0.842416,-0.133388,0,0.81177,0.885289
3317,0.638718,0.814222,0.842416,-0.133388,0,0.81177,0.885289
3319,0.638718,0.814222,0.842416,-0.133388,0,0.81177,0.885289
3321,0.638718,0.814222,0.842416,-0.133388,0,0.81177,0.885289
3323,0.727726,0.811339,0.842102,-0.084044,0,0.81177,0.885289
3325,0.727726,0.811339,0.842102,-0.084044,0,0.81177,0.885289
3327,0.688805,0.811339,0.842102,-0.084044,0,0.81177,0.885289
3329,0.688805,0.811339,0.842102,-0.084044,0,0.81177,0.885289
3331,0.688805,0.811339,0.842102,-0.084044,0,0.81177,0.885289
3333,0.894814,0.814121,0.842247,0.083044,0,0.81177,0.885289
3335,0.875777,0.814121,0.842247,0.083044,0,0.81177,0.885289
3337,0.875777,0.814121,0.842247,0.083044,0,0.81177,0.885289
3339,0.875777,0.814121,0.842247,0.083044,0,0.81177,0.885289
3341,0.894814,0.816811,0.842391,0.083044,0,0.81177,0.885289
3343,0.894814,0.816811,0.842391,0.083044,0,0.81177,0.885289
3345,0.875777,0.816811,0.842391,0.083044,0,0.81177,0.885289
3347,0.875777,0.816811,0.842391,0.083044,0,0.81177,0.885289
3349,0.875777,0.816811,0.842391,0.083044,0,0.81177,0.885289
3351,0.873725,0.818708,0.842476,0.061955,0,0.81177,0.885289
3353,0.840146,0.818708,0.842476,0.061955,0,0.81177,0.885289
3355,0.840146,0.818708,0.842476,0.061955,0,0.81177,0.885289
3357,0.840146,0.818708,0.842476,0.061955,0,0.81177,0.885289
3359,0.678518,0.814035,0.842027,-0.133253,0,0.81177,0.885289
3361,0.678518,0.814035,0.842027,-0.133253,0,0.81177,0.885289
3363,0.638855,0.814035,0.842027,-0.133253,0,0.81177,0.885289
3365,0.638855,0.814035,0.842027,-0.133253,0,0.81177,0.885289
3367,0.638855,0.814035,0.842027,-0.133253,0,0.81177,0.885289
3369,0.725504,0.811084,0.841708,-0.086266,0,0.81177,0.885289
=== cell 2000 lat=0.846154 (samples=116) ===
tick,temp,t30,t365,seas_off,sea_ice,baseline,baseline_year
3255,0.426549,0.206801,0.297096,0.28477,0,0.158554,0.398688
3257,0.429549,0.206801,0.297096,0.28477,0,0.158554,0.398688
3259,0.429549,0.206801,0.297096,0.28477,0,0.158554,0.398688
3261,0.147226,0.205312,0.296727,0.003574,0,0.158554,0.398688
3263,0.147226,0.205312,0.296727,0.003574,0,0.158554,0.398688
3265,0.147226,0.205312,0.296727,0.003574,0,0.158554,0.398688
3267,0.147226,0.205312,0.296727,0.003574,0,0.158554,0.398688
3269,0,0.198468,0.295914,-0.275242,0,0.158554,0.398688
3271,0,0.198468,0.295914,-0.275242,0,0.158554,0.398688
3273,0,0.198468,0.295914,-0.275242,0,0.158554,0.398688
3275,0.003,0.198468,0.295914,-0.275242,0,0.158554,0.398688
3277,0.003,0.198468,0.295914,-0.275242,0,0.158554,0.398688
3279,0,0.191853,0.295103,-0.214687,0,0.158554,0.398688
3281,0,0.191853,0.295103,-0.214687,0,0.158554,0.398688
3283,0,0.191853,0.295103,-0.214687,0,0.158554,0.398688
3285,0,0.191853,0.295103,-0.214687,0,0.158554,0.398688
3287,0.318972,0.19609,0.295168,0.160417,0,0.158554,0.398688
3289,0.281112,0.19609,0.295168,0.160417,0,0.158554,0.398688
3291,0.281112,0.19609,0.295168,0.160417,0,0.158554,0.398688
3293,0.281112,0.19609,0.295168,0.160417,0,0.158554,0.398688
