day,phase,work,ms
34,trade_settle,0,0.000600
34,ledger_apply,0,0.000400
34,employment,0,0.365200
34,production,0,0.711300
34,household,0,0.597700
34,research,0,0.001300
34,trade_dispatch,0,0.006400
34,structural,0,0.236700
34,building_commit,0,0.043100
34,family,0,0.206900
34,person,0,0.034600
34,native_hash,321600,2.253100
34,aggregate,0,3.582500
34,domain_projection,0,0.217900
34,ledger_validate,321600,0.136800
34,ledger_hash,321600,1.174600
34,ledger_export,321600,1.815400
34,pod_hash,321600,1.028500
35,building_plan,0,0.088300
35,trade_settle,0,0.000400
35,ledger_apply,0,0.000200
35,employment,0,0.281400
35,production,0,0.354000
35,household,0,0.575400
35,research,0,0.000800
35,trade_dispatch,0,0.004300
35,structural,0,0.065500
35,building_commit,0,0.143600
35,family,0,0.127400
35,person,0,0.022800
35,native_hash,321600,1.378600
35,aggregate,0,2.227800
35,domain_projection,0,0.208700
35,ledger_validate,321600,0.136600
35,ledger_hash,321600,1.093100
35,ledger_export,321600,1.669100
35,pod_hash,321600,0.958900
36,building_plan,0,0.105300
36,trade_settle,0,0.000500
36,ledger_apply,0,0.000300
36,employment,0,0.705100
36,production,0,0.882000
36,household,0,0.669500
36,research,0,0.011400
36,trade_dispatch,0,0.007700
36,structural,0,0.147000
36,building_commit,0,0.050800
36,family,0,0.375900
36,person,0,0.052100
36,native_hash,321600,1.999300
36,aggregate,0,3.835700
36,domain_projection,0,0.250100
36,ledger_validate,321600,0.222600
36,ledger_hash,321600,1.428200
36,ledger_export,321600,2.418000
36,pod_hash,321600,1.011700
37,building_plan,0,0.121200
37,trade_settle,0,0.000400
37,ledger_apply,0,0.000600
37,employment,0,0.283600
37,production,0,0.367900
37,household,0,1.081000
37,research,0,0.001500
37,trade_dispatch,0,0.007600
37,structural,0,0.254400
37,building_commit,0,0.246100
37,family,0,0.210000
37,person,0,0.057300
37,native_hash,321600,1.558100
37,aggregate,0,2.687300
37,domain_projection,0,0.225700
37,ledger_validate,321600,0.139500
37,ledger_hash,321600,1.139200
37,ledger_export,321600,1.770500
37,pod_hash,321600,0.971900
38,building_plan,0,0.096200
38,trade_settle,0,0.000500
38,ledger_apply,0,0.000300
38,employment,0,0.309700
38,production,0,0.372200
38,household,0,0.688400
38,research,0,0.001300
38,trade_dispatch,0,0.006700
38,structural,0,0.206300
38,building_commit,0,0.028100
38,family,0,0.135600
38,person,0,0.027300
38,native_hash,321600,2.252700
38,aggregate,0,2.882700
38,domain_projection,0,0.279700
38,ledger_validate,321600,0.144400
38,ledger_hash,321600,1.132800
38,ledger_export,321600,2.129600
38,pod_hash,321600,1.035700
39,building_plan,0,0.191800
39,trade_settle,0,0.000500
39,ledger_apply,0,0.000400
39,employment,0,0.553300
39,production,0,0.371800
39,household,0,0.547700
39,research,0,0.000900
39,trade_dispatch,0,0.004700
39,structural,0,0.118500
39,building_commit,0,0.135000
39,family,0,0.130300
39,person,0,0.038000
39,native_hash,321600,1.319100
39,aggregate,0,1.907500
39,domain_projection,0,0.213100
39,ledger_validate,321600,0.136600
39,ledger_hash,321600,1.110400
39,ledger_export,321600,1.704800
39,pod_hash,321600,0.938300
40,building_plan,0,0.084900
40,trade_settle,0,0.000500
40,ledger_apply,0,0.000300
40,employment,0,0.293000
40,production,0,0.366900
40,household,0,0.747100
40,research,0,0.001200
40,trade_dispatch,0,0.006100
40,structural,0,0.111000
40,building_commit,0,0.147500
40,family,0,0.193900
40,person,0,0.025700
40,native_hash,321600,1.361200
40,aggregate,0,1.969200
40,domain_projection,0,0.219700
40,ledger_validate,321600,0.143000
40,ledger_hash,321600,1.130000
40,ledger_export,321600,1.822600
40,pod_hash,321600,0.974700
41,building_plan,0,0.106200
41,trade_settle,0,0.000600
41,ledger_apply,0,0.000300
41,employment,0,0.612000
41,production,0,0.689700
41,household,0,1.001000
41,research,0,0.001800
41,trade_dispatch,0,0.007800
41,structural,0,0.195900
41,building_commit,0,0.044100
41,family,0,0.217100
41,person,0,0.042200
41,native_hash,321600,1.499000
41,aggregate,0,2.367200
41,domain_projection,0,0.199000
41,ledger_validate,321600,0.142200
41,ledger_hash,321600,1.142300
41,ledger_export,321600,1.773100
41,pod_hash,321600,1.332700
42,building_plan,0,0.126200
42,trade_settle,0,0.000400
42,ledger_apply,0,0.000400
42,employment,0,0.304600
42,production,0,0.379600
42,household,0,0.933900
42,research,0,0.001100
42,trade_dispatch,0,0.005400
42,structural,0,0.137900
42,building_commit,0,0.269700
42,family,0,0.142500
42,person,0,0.029400
42,native_hash,321600,2.532400
42,aggregate,0,3.168600
42,domain_projection,0,0.216900
42,ledger_validate,321600,0.143700
42,ledger_hash,321600,1.134500
42,ledger_export,321600,1.714000
42,pod_hash,321600,1.006300
43,building_plan,0,0.095400
43,trade_settle,0,0.000400
43,ledger_apply,0,0.000300
43,employment,0,0.314300
43,production,0,0.388500
43,household,0,0.545900
43,research,0,0.001500
43,trade_dispatch,0,0.005600
43,structural,0,0.130400
43,building_commit,0,0.145800
43,family,0,0.129600
43,person,0,0.028100
43,native_hash,321600,1.382700
43,aggregate,0,1.992400
43,domain_projection,0,0.214600
43,ledger_validate,321600,0.145400
43,ledger_hash,321600,1.195700
43,ledger_export,321600,1.846000
43,pod_hash,321600,0.997700
44,building_plan,0,0.089200
44,trade_settle,0,0.000800
44,ledger_apply,0,0.000400
44,employment,0,0.289500
44,production,0,0.379300
44,household,0,0.595900
44,research,0,0.000900
44,trade_dispatch,0,0.004900
44,structural,0,0.098300
44,building_commit,0,0.024500
44,family,0,0.191100
44,person,0,0.027400
44,native_hash,321600,1.705500
44,aggregate,0,2.457200
44,domain_projection,0,0.245900
44,ledger_validate,321600,0.169100
44,ledger_hash,321600,1.309000
44,ledger_export,321600,2.131500
44,pod_hash,321600,0.994700
45,building_plan,0,0.090200
45,trade_settle,0,0.000400
45,ledger_apply,0,0.000400
45,employment,0,0.274400
45,production,0,0.357200
45,household,0,0.837800
45,research,0,0.001000
45,trade_dispatch,0,0.005400
45,structural,0,0.107300
45,building_commit,0,0.026900
45,family,0,0.139200
45,person,0,0.029900
45,native_hash,321600,1.362400
45,aggregate,0,1.963700
45,domain_projection,0,0.209200
45,ledger_validate,321600,0.145600
45,ledger_hash,321600,1.464300
45,ledger_export,321600,2.142900
45,pod_hash,321600,0.978000
46,building_plan,0,0.063100
46,trade_settle,0,0.000600
46,ledger_apply,0,0.000400
46,employment,0,0.655200
46,production,0,0.662500
46,household,0,0.590900
46,research,0,0.001000
46,trade_dispatch,0,0.004800
46,structural,0,0.070100
46,building_commit,0,0.023700
46,family,0,0.135300
46,person,0,0.032200
46,native_hash,321600,1.300200
46,aggregate,0,1.874400
46,domain_projection,0,0.206900
46,ledger_validate,321600,0.131600
46,ledger_hash,321600,1.086400
46,ledger_export,321600,1.626600
46,pod_hash,321600,0.965900
47,building_plan,0,0.113200
47,trade_settle,0,0.000400
47,ledger_apply,0,0.000300
47,employment,0,0.282300
47,production,0,0.360400
47,household,0,0.785400
47,research,0,0.001000
47,trade_dispatch,0,0.006000
47,structural,0,0.070600
47,building_commit,0,0.132900
47,family,0,0.232800
47,person,0,0.048000
47,native_hash,321600,1.433300
47,aggregate,0,2.287900
47,domain_projection,0,0.219200
47,ledger_validate,321600,0.139800
47,ledger_hash,321600,1.100000
47,ledger_export,321600,1.717200
47,pod_hash,321600,0.955300
48,building_plan,0,0.088200
48,trade_settle,0,0.000400
48,ledger_apply,0,0.000300
48,employment,0,0.279500
48,production,0,0.352200
48,household,0,0.551600
48,research,0,0.000900
48,trade_dispatch,0,0.004200
48,structural,0,0.068900
48,building_commit,0,0.024400
48,family,0,0.179600
48,person,0,0.028800
48,native_hash,321600,1.504100
48,aggregate,0,2.065200
48,domain_projection,0,0.215400
48,ledger_validate,321600,0.139200
48,ledger_hash,321600,1.152200
48,ledger_export,321600,1.911100
48,pod_hash,321600,0.943600
49,building_plan,0,0.088800
49,trade_settle,0,0.000400
49,ledger_apply,0,0.000300
49,employment,0,0.281600
49,production,0,0.349400
49,household,0,0.543400
49,research,0,0.001100
49,trade_dispatch,0,0.004800
49,structural,0,0.095100
49,building_commit,0,0.137400
49,family,0,0.130400
49,person,0,0.028600
49,native_hash,321600,1.302500
49,aggregate,0,1.894300
49,domain_projection,0,0.206300
49,ledger_validate,321600,0.134800
49,ledger_hash,321600,1.109800
49,ledger_export,321600,1.744800
49,pod_hash,321600,0.956300
50,building_plan,0,0.084600
50,trade_settle,0,0.000600
50,ledger_apply,0,0.000300
50,employment,0,0.286500
50,production,0,0.356100
50,household,0,0.534200
50,research,0,0.001000
50,trade_dispatch,0,0.006000
50,structural,0,0.111000
50,building_commit,0,0.139800
50,family,0,0.132700
50,person,0,0.033700
50,native_hash,321600,1.287200
50,aggregate,0,3.207800
50,domain_projection,0,0.210900
50,ledger_validate,321600,0.134200
50,ledger_hash,321600,1.098600
50,ledger_export,321600,1.681700
50,pod_hash,321600,0.945600
51,building_plan,0,0.057600
51,trade_settle,0,0.000400
51,ledger_apply,0,0.000400
51,employment,0,0.308400
51,production,0,0.370900
51,household,0,0.534100
51,research,0,0.001300
51,trade_dispatch,0,0.005500
51,structural,0,0.100400
51,building_commit,0,0.025200
51,family,0,0.134800
51,person,0,0.033400
51,native_hash,321600,1.499500
51,aggregate,0,2.116400
51,domain_projection,0,0.201100
51,ledger_validate,321600,0.142100
51,ledger_hash,321600,1.220800
51,ledger_export,321600,1.796300
51,pod_hash,321600,0.990200
52,building_plan,0,0.133400
52,trade_settle,0,0.000600
52,ledger_apply,0,0.000400
52,employment,0,0.312400
52,production,0,0.387000
52,household,0,0.971000
52,research,0,0.001000
52,trade_dispatch,0,0.005300
52,structural,0,0.130000
52,building_commit,0,0.196200
52,family,0,0.206100
52,person,0,0.035600
52,native_hash,321600,1.482700
52,aggregate,0,2.454700
52,domain_projection,0,0.214300
52,ledger_validate,321600,0.140200
52,ledger_hash,321600,1.129600
52,ledger_export,321600,1.821300
52,pod_hash,321600,0.967300
53,building_plan,0,0.087600
53,trade_settle,0,0.000400
